image_type,metric,k,silhouette,ari,nmi,spread_pct_healthy
cor,euclidean,3,0.0223,-0.0079,0.0221,18.4
cor,euclidean,4,0.0079,-0.0244,0.0368,31.2
cor,robust_mahalanobis,3,0.0005,-0.0135,0.0127,10.0
cor,robust_mahalanobis,4,0.0011,0.0094,0.0289,29.1
gfc_sag,euclidean,3,0.0235,0.017,0.0189,18.8
gfc_sag,euclidean,4,0.021,0.0009,0.0313,19.2
gfc_sag,robust_mahalanobis,3,0.0029,-0.0051,0.007,0.9
gfc_sag,robust_mahalanobis,4,0.0023,-0.0014,0.0158,8.0
gfc_tra,euclidean,3,0.0009,-0.0121,0.0442,33.0
gfc_tra,euclidean,4,0.0104,-0.0031,0.0485,34.7
gfc_tra,robust_mahalanobis,3,0.0014,-0.0032,0.0124,4.8
gfc_tra,robust_mahalanobis,4,0.0005,-0.0044,0.0097,5.3
masked_tra,euclidean,3,0.0257,0.0597,0.0851,42.8
masked_tra,euclidean,4,0.0062,0.0279,0.0814,47.1
masked_tra,robust_mahalanobis,3,0.0004,-0.0013,0.014,10.9
masked_tra,robust_mahalanobis,4,-0.0001,0.002,0.0162,14.9
sbj_sag,euclidean,3,0.1348,-0.005,0.0164,12.3
sbj_sag,euclidean,4,0.1112,-0.0041,0.014,13.0
sbj_sag,robust_mahalanobis,3,0.0031,0.006,0.0122,8.7
sbj_sag,robust_mahalanobis,4,-0.0005,0.0116,0.0187,13.9
