patient_id,gfc_sag_PC1,gfc_sag_PC2,gfc_sag_PC3,gfc_sag_PC4,gfc_sag_PC5,gfc_sag_PC6,gfc_sag_PC7,gfc_sag_PC8,gfc_sag_PC9,gfc_sag_PC10,gfc_sag_PC11,gfc_sag_PC12,gfc_sag_PC13,gfc_sag_PC14,gfc_sag_PC15,gfc_sag_PC16,gfc_sag_PC17,gfc_sag_PC18,gfc_sag_PC19,gfc_sag_PC20,gfc_sag_PC21,gfc_sag_PC22,gfc_sag_PC23,gfc_sag_PC24,gfc_sag_PC25,gfc_sag_PC26,gfc_sag_PC27,gfc_sag_PC28,gfc_sag_PC29,gfc_sag_PC30,gfc_sag_PC31,gfc_sag_PC32,gfc_sag_PC33,gfc_sag_PC34,gfc_sag_PC35,gfc_sag_PC36,gfc_sag_PC37,gfc_sag_PC38,gfc_sag_PC39,gfc_sag_PC40,gfc_sag_PC41,gfc_sag_PC42,gfc_sag_PC43,gfc_sag_PC44,gfc_sag_PC45,gfc_sag_PC46,gfc_sag_PC47,gfc_sag_PC48,gfc_sag_PC49,gfc_sag_PC50,gfc_sag_PC51,gfc_sag_PC52,gfc_sag_PC53,gfc_sag_PC54,gfc_sag_PC55,gfc_sag_PC56,gfc_sag_PC57,gfc_sag_PC58,gfc_sag_PC59,gfc_sag_PC60,gfc_sag_PC61,gfc_sag_PC62,gfc_sag_PC63,gfc_sag_PC64,gfc_sag_PC65,gfc_sag_PC66,gfc_sag_PC67,gfc_sag_PC68,gfc_sag_PC69,gfc_sag_PC70,gfc_sag_PC71,gfc_sag_PC72,gfc_sag_PC73,gfc_sag_PC74,gfc_sag_PC75,gfc_sag_PC76,gfc_sag_PC77,gfc_sag_PC78,gfc_sag_PC79,gfc_sag_PC80,gfc_sag_PC81,gfc_sag_PC82,gfc_sag_PC83,gfc_sag_PC84,gfc_sag_PC85,gfc_sag_PC86,gfc_sag_PC87,gfc_sag_PC88,gfc_sag_PC89,gfc_sag_PC90,gfc_sag_PC91,gfc_sag_PC92,gfc_sag_PC93,gfc_sag_PC94,gfc_sag_PC95,gfc_sag_PC96,gfc_sag_PC97,gfc_sag_PC98,gfc_sag_PC99,gfc_sag_PC100,gfc_sag_PC101,gfc_sag_PC102,gfc_sag_PC103,gfc_sag_PC104,gfc_sag_PC105,gfc_sag_PC106,gfc_sag_PC107,gfc_sag_PC108,gfc_sag_PC109,gfc_sag_PC110
OAS1_0001,-1.4625242,-1.3410542,-0.5222673,1.2219355,0.24942668,1.1235243,-0.6517059,-0.9903661,0.58107847,0.12009787,-0.22953406,0.06259173,-0.4258829,0.067736804,0.03439855,0.4113878,0.37842184,-0.32780638,0.81376314,-0.6401519,-0.23881553,-0.30593863,-0.20716918,-0.29815146,0.02021565,-0.39985228,-0.31671903,-0.4276026,-0.4173526,0.3107622,-0.21548189,-0.0816174,-0.80034894,0.6532501,0.19594057,0.14677194,-0.30809072,-0.18889618,0.24990131,-0.42908442,0.29846987,-0.31018493,-0.3456849,-0.048743844,-0.6914659,-0.100916214,0.27596813,-0.4344645,0.058698066,0.12782148,-0.101578645,0.2458524,-0.39202675,-0.45343345,-0.59447205,0.65141445,0.1058162,0.31551707,-0.9940463,0.18636678,0.086975984,-0.21284345,-0.13219391,-0.6394256,-0.64347804,-0.015537233,-0.049478173,0.5845271,0.08930841,1.1463133,-0.13670392,-0.69653845,-0.06974146,-0.5092639,0.005090234,-0.58666795,-0.5626367,-0.18402004,-0.2694822,-0.3567484,-0.12445522,0.25143743,-0.13864134,0.24708563,0.34554932,0.10541682,-0.18000084,0.25263023,0.04466707,0.17669767,-0.1960141,0.3194435,-0.48601902,-0.16367322,0.39201024,-0.068991035,0.7044128,0.19079429,0.14400394,-0.4293607,0.17121604,-0.008453935,0.42654493,0.024430223,-0.4529065,-0.11209963,0.34615836,0.10697289,0.3684164,0.22441077
OAS1_0002,1.8493931,0.9813271,0.4645389,-0.6093313,-0.78648525,-0.25075892,-0.6934088,-1.23487,0.70006245,0.3992049,0.32897887,0.5064483,-0.45908836,-1.1894855,-0.473284,-0.32552898,0.20034175,-0.1344767,-0.13364999,-0.8393505,-0.3791132,-0.03917486,-0.73301977,-0.3278336,0.8512621,0.55809146,0.37808877,0.19658388,-0.4705331,-0.49755606,0.4711457,0.056872346,0.07261797,0.14158429,-0.20016372,0.4762123,-0.0049464535,0.4001778,0.47699258,-0.94637024,-0.70618576,-0.10678776,-0.9319975,0.39393964,0.10769555,0.345377,-0.35919818,0.09515795,-0.3658774,0.05567047,-0.22111572,0.30589476,-0.321869,-0.7351648,-0.38145858,-0.23183861,-0.08901658,0.36636764,0.19785391,0.10562064,0.12104443,-0.11657339,-0.38552633,-0.00874016,0.23615454,-0.28196913,-0.016013075,0.13365722,-0.23133191,0.5600049,0.101793595,-0.3895626,0.094874576,0.11803371,-0.34637997,-0.06729836,0.31322396,0.17164835,0.13568625,0.661367,-0.5612232,0.6630476,0.17496118,0.0623229,0.5054272,-0.16266537,-0.118853435,-0.363401,-0.26115343,0.47114635,0.1493804,-0.058915447,-0.007939223,-0.035477523,0.4868606,-0.39491236,-0.124503195,0.075304605,-0.075357,-0.0789806,0.48957187,-0.18298534,-0.36848578,0.8045222,0.19232272,0.530224,0.09252083,-0.4295095,-0.40771803,-0.21821257
OAS1_0003,-0.4407376,-1.6627363,0.35264832,-0.4197201,0.49299806,0.7532094,-0.42111418,-0.026519505,-0.74621576,-0.99440414,-0.6076201,-0.8036182,0.8778899,0.2584102,-0.15535888,0.5184646,0.03377931,-0.39256892,0.14001028,-1.2549893,0.42436376,0.019557562,-0.21479072,-0.34779546,0.42641574,0.5131153,0.5450061,-0.06736081,1.1940413,-0.37061733,0.13451111,0.19599646,0.4376747,0.44494534,-0.1287715,-0.4588285,-0.12087009,-0.0069141695,-0.93025583,-0.11020944,-0.51978886,-0.36796314,0.013289983,-0.36567086,0.49385998,0.7397753,0.2800083,0.3683397,0.51568097,0.1337147,-0.53001106,-0.31851822,0.41390732,-0.20219798,0.011993908,-0.4892915,-0.6629697,0.26554838,0.13634604,-0.37136382,-0.2791013,0.22099231,0.49148256,-0.043661784,0.4529799,0.28246203,0.19860695,0.28041655,0.20463365,-0.19712691,0.819908,0.14552236,0.29422313,0.024020169,-0.42967996,-0.1902154,0.038674757,0.1760348,0.3212466,-0.74932784,0.6929457,-0.041962944,-0.07807885,-0.21515235,-0.046667382,-0.1332773,0.15368363,0.28653616,0.48493457,0.16693823,-0.22813112,-0.28630337,0.3077334,0.31076807,-0.3684879,-0.24194002,-0.16475184,0.39320782,-0.1567493,-0.30357313,-0.04037849,-0.20408563,0.14624602,-0.12768345,0.18541637,-0.21022204,0.11741744,0.21004531,-0.5488711,-0.12475092
OAS1_0004,-1.4842639,0.112217285,-0.58772063,1.0153143,0.54461306,-0.24458076,0.4043126,0.40900114,0.17822164,1.0742579,-0.62830925,0.9255853,0.63684165,-0.22055675,0.5981048,0.58991843,0.4141047,0.002084099,-0.18575859,-1.0494753,-0.019417308,0.21204111,0.087931246,-0.3342548,0.36141667,-0.2319665,0.050695196,0.19084375,0.19084533,-1.0899469,0.065627374,0.454339,0.24949916,-0.22669807,0.16013479,0.4507604,-0.040628485,-0.05066005,-0.6132245,-0.013368119,0.07080434,0.0045012557,-0.19232377,0.29071197,0.061066,-0.43790764,0.10298947,-0.20256618,0.13552092,-0.054324504,-0.027360864,-0.29145858,-0.24905637,-0.51428145,-0.0533253,0.019009877,0.14648102,0.048778504,-0.28100553,-0.09644355,-0.34813547,1.1086943,0.20600751,0.51728624,-0.19781397,-0.11452737,0.79343075,-0.47864488,0.13548209,0.20060281,0.90608174,-0.16814277,-0.5700477,0.4193268,0.18863465,-0.1610717,-0.090289816,-0.24451539,-0.19441962,0.3562631,0.63390595,0.017858963,0.3642602,-0.31181395,-0.29535383,0.36927423,-0.40883118,-0.40041235,0.3066456,-0.11309579,-0.4741484,-0.0068087783,0.1790178,-0.3518819,-0.07596153,0.14551005,-0.088349305,-0.31461036,-0.2939716,-0.15265316,-0.16115108,-0.58143395,0.14050357,-0.3737726,-0.14386882,0.3480044,-0.4936982,-0.3215488,0.26247916,-0.07429769
OAS1_0005,0.24841806,-0.6077304,-0.87694246,-0.8976714,0.5192915,-0.038912646,1.2346152,-1.1660528,0.43752408,-0.68757665,0.78597206,0.8433884,0.029207056,0.6325465,-0.76972127,0.486421,-0.46890652,-0.14803796,-0.19859566,0.51770496,-0.33847675,0.3110394,0.52726454,-0.7736714,1.0749278,-0.10935412,0.5935729,-0.1828393,0.23271239,-0.06744365,0.021760283,-0.030845258,0.21756522,0.6847548,-0.3869187,-0.027510807,-0.633057,-0.094286695,0.5028184,0.19466197,-0.2153914,0.36758295,0.42832652,0.15777726,0.11957886,0.1316598,0.26904178,0.15783013,-0.42345533,-0.028041525,-0.56128836,-0.5218679,0.36173567,-0.09016845,0.07876417,0.28331473,-0.5233416,-0.3861173,0.44496632,0.27261332,-0.16975167,-0.19061393,-0.19637917,0.60950387,0.12625135,1.1351217e-05,-0.15238921,0.091200784,0.19699346,0.046803344,-0.5655015,-0.4353679,-0.36817917,-0.015717478,0.2650312,-0.011394853,-0.40940952,0.3161672,-0.11093156,1.2288924,0.07630764,0.059176967,0.19546835,-0.09105406,0.38776886,-0.058322664,-0.11161948,-0.6008814,0.63901293,0.107646,-0.10462626,0.89990324,-0.06517433,0.1267126,0.06572969,-0.20425214,0.2590553,0.089984335,0.18060216,0.12179279,0.035050016,-0.5945683,-0.1707885,0.29737696,0.16879135,-0.6209359,0.6139711,0.12887308,-0.1012602,0.06827619
OAS1_0006,1.6365693,1.2600138,0.19435906,2.1432016,0.39701113,0.09622524,-0.057912115,0.2552178,-0.36724702,-0.5211307,0.48538777,-0.61099297,0.14863566,-0.75499964,-7.064038e-05,-0.9029171,-0.16477573,0.16412663,0.25149164,-0.43559453,0.123322226,0.1573376,-0.45276105,-0.5359529,-0.025886767,0.11902524,-0.49085328,0.18232816,0.32076862,-0.6603978,-0.3431746,-0.7071335,-0.21261042,-0.3271217,0.38766256,-0.44527426,1.0703795,0.8273133,1.1073418,0.50365925,-0.50599915,-0.6175633,0.04452402,-0.36382186,-0.638957,-0.41083974,-0.35352105,-0.45415375,0.036939133,-0.82344323,-0.19242673,-0.08371271,0.54360163,-0.047292203,0.075424135,-0.25808364,0.4775768,-0.08395281,-0.34295437,0.20721023,0.33374828,-0.38525242,-0.27345636,0.45928732,0.51248145,-0.673267,-0.6543797,-0.012017096,0.15652002,-0.031674076,0.079672486,0.23123549,-0.53505707,0.009260495,0.4427014,-0.6892877,0.033596575,0.73906165,-0.46829966,-0.46652618,0.2253536,-0.8039377,0.102623925,-0.20179895,-0.08114538,0.016564937,0.11681237,0.23916863,0.352941,0.40738612,0.087336436,-0.4433156,-0.6238801,0.0030746318,-0.06314486,0.40684313,-0.12879084,0.46833506,-0.5538427,-0.6527302,0.6473472,-0.27303097,-0.52377254,0.72960746,0.1868597,-0.14321813,0.18858214,0.72350353,0.14341417,-0.08158684
OAS1_0007,-0.48484358,1.7297406,-0.36936656,1.4628192,0.21126305,0.062943146,0.6296318,0.044406332,0.15832378,1.2077358,-0.76033014,0.30045906,-0.49845025,-0.6770891,0.8314786,0.8838877,-0.65898323,-0.46831742,-0.3281561,0.33719468,-0.44707775,-0.28344354,1.0561337,1.032247,0.46463826,-0.3253935,0.79673755,-0.30811235,0.8630592,-0.3458322,0.030809285,0.88341475,0.8130356,0.3837325,1.2528523,0.61259043,0.59653395,0.04153423,0.61952835,0.21455394,-0.5334227,-0.18535472,-0.33699057,-0.8493458,0.15960735,-0.30944404,0.23851684,-0.16320743,-0.6520864,-0.049263403,0.11499152,-0.12799162,0.28448135,-0.20025408,0.1588994,-0.3177017,-0.19945003,0.05825538,0.307829,0.29494092,-0.70927626,-0.40174377,0.110453755,-0.5071841,0.28164652,-0.48314965,-0.00682373,-0.3828992,0.06576989,0.087758094,-0.07583567,-0.46206272,-0.09607262,0.0057851044,0.13720721,-0.097620085,-0.04001286,-0.5691,-0.26894474,0.01734266,0.1148007,0.05092222,0.26121706,0.8812867,0.0057698935,0.720512,-0.39776388,-0.50908285,0.05144352,0.23390795,0.23590857,-0.13228714,-0.2619176,0.10463344,-0.4446211,-0.13139473,-0.08162516,-0.71975315,-0.18852772,-0.13947713,0.21532615,-0.098215476,0.21424961,0.050662316,0.06603671,-0.27400848,0.23797643,0.13732761,-0.14618713,-0.25974956
OAS1_0009,-0.91363734,0.5112597,-2.1739535,1.1671878,-0.45928806,0.69217855,-0.17434661,0.041237917,-0.6792087,0.52959955,-0.850219,-0.014228189,0.3858241,-0.23835124,0.050369635,0.17403293,0.14351018,0.20707776,0.30419102,-0.31497946,-0.24085976,0.5734387,0.20316619,0.44309285,0.0014635045,0.15376407,0.18180567,0.08762481,0.15709679,0.46016362,-0.29585642,-0.16464192,-0.08130441,0.31063643,0.32032174,0.42000732,0.08791412,0.00436586,0.5119612,-0.49777308,0.78791034,-0.14219067,-0.0874805,-0.28225344,1.114409,-0.63771266,0.28087035,0.18761058,-0.5786322,0.3811014,-0.01817764,-0.38112435,0.13497448,-0.47511616,0.3022796,-0.0029938698,0.33998066,0.20887557,-0.15739481,-0.2595139,-0.17321378,0.75058603,0.15592934,0.45608798,-0.23884775,0.7136887,-0.52823305,-0.25682336,0.4952784,0.038035255,-0.16262075,-0.17898807,-0.092529155,0.36812603,-0.17806591,-0.01644937,0.17986807,0.013079243,0.47095037,-0.15811005,0.25646535,-0.020926502,0.31285703,0.006580836,0.06331808,0.12154527,-0.4540354,0.14144966,-0.020222062,0.16806217,0.4695623,-0.36970493,0.24022865,0.30885524,0.25427344,0.4889031,-0.5014427,0.5462797,-0.17506023,-0.016306128,0.26745754,-0.29974607,0.10053461,0.051999792,0.56830215,-1.0675637,0.016123284,0.3103912,-0.09776154,0.23349503
OAS1_0010,-1.9093921,0.99544615,2.0417652,-1.861464,-1.4498614,0.672502,0.5716745,-0.23378415,0.8104524,0.5215745,0.5273035,-0.6083688,-1.0544082,-0.92172927,0.784645,0.39214057,0.79734695,-0.704872,0.7429754,-0.078878015,0.061408255,-0.31764784,-0.31584117,-0.05757868,-0.33136842,-0.51888955,-0.749962,0.18909372,-0.31452277,-0.26275265,0.31842637,0.3111167,0.68745375,0.037793465,0.7373347,-0.34072626,0.53978586,-0.5936102,-0.047414795,0.081033066,-0.16703469,-0.2081702,0.15359935,-0.6907615,-0.27134025,-0.4047823,0.04338477,-0.24533004,-0.21874337,0.43071407,-0.9324606,-0.08756168,-0.4658476,0.12854017,0.3644541,-0.45034796,-0.27680993,-0.5745104,-0.15377325,0.43446976,0.7358839,-1.0519418,0.009348049,0.098841764,0.068063,0.38527745,-0.08928932,0.33662847,-0.09190991,-0.039106075,-0.53684884,-0.18898056,-0.7726782,0.092083946,0.6617685,0.4140684,-0.51443374,-0.42572153,0.10961814,0.049513754,1.0213022,0.15560639,-0.46331233,0.5114073,0.09051529,0.3410673,0.3876209,-0.09919559,-0.42789075,-0.35660636,0.38255608,0.2877995,0.28859016,0.04644664,1.0727166,-0.1695977,-0.29071563,0.17466518,-0.069096014,-0.5271296,-0.43951777,-0.36641648,-0.7462329,-0.05759257,-0.24798591,0.8747883,-0.26076108,-0.116585806,0.039276984,-0.017391441
OAS1_0011,2.113708,-1.4386266,-0.62848645,1.0080968,-1.0604433,-0.44747427,0.13264763,1.1474706,0.23080872,0.8671731,-0.55049163,-0.27752966,-0.35284144,-0.5161007,-0.630674,-0.030447356,1.0327573,0.66573316,0.4751579,0.5817997,-0.29692987,0.73748255,0.021312851,-0.08968509,-0.55239016,0.3948141,-0.20613861,0.24292074,0.21610251,0.46199638,0.5844442,0.40655738,-0.82211685,0.59560317,-0.75002205,0.58401614,-0.10762925,-0.070332035,-0.83126354,-0.7403255,0.18038511,-0.3249044,-0.056371484,-0.06820586,0.5756486,-0.5463601,0.7039437,0.09517815,0.15868267,-0.57907134,-0.41998225,0.08449246,0.52077997,0.2858595,-0.004261534,-0.043260477,-0.08817726,-0.41636795,0.47557154,-0.19274513,-0.25370052,0.068893425,-0.46480247,0.010494177,0.093713254,0.80409724,0.5956636,0.58582675,0.21321791,0.0022444408,-0.60795325,0.613884,0.17538895,0.04662849,-0.48441514,0.06602727,0.11087823,0.23017846,0.24165869,-0.109850615,-0.058275953,-0.32014608,1.1313441,0.6435471,-0.5904675,-0.23098479,-0.3401715,0.33520186,0.21076722,-0.4178257,0.19346294,-0.9313596,-0.24827135,-0.25286913,-0.17492433,-0.04006724,-0.009332626,-0.14179417,0.09946597,0.128032,0.0009827066,-0.59395736,-0.1614537,-0.25304288,-0.1459267,0.5592264,0.032912824,-0.060279645,-0.329669,0.4939909
