patient_id,gfc_tra_PC1,gfc_tra_PC2,gfc_tra_PC3,gfc_tra_PC4,gfc_tra_PC5,gfc_tra_PC6,gfc_tra_PC7,gfc_tra_PC8,gfc_tra_PC9,gfc_tra_PC10,gfc_tra_PC11,gfc_tra_PC12,gfc_tra_PC13,gfc_tra_PC14,gfc_tra_PC15,gfc_tra_PC16,gfc_tra_PC17,gfc_tra_PC18,gfc_tra_PC19,gfc_tra_PC20,gfc_tra_PC21,gfc_tra_PC22,gfc_tra_PC23,gfc_tra_PC24,gfc_tra_PC25,gfc_tra_PC26,gfc_tra_PC27,gfc_tra_PC28,gfc_tra_PC29,gfc_tra_PC30,gfc_tra_PC31,gfc_tra_PC32,gfc_tra_PC33,gfc_tra_PC34,gfc_tra_PC35,gfc_tra_PC36,gfc_tra_PC37,gfc_tra_PC38,gfc_tra_PC39,gfc_tra_PC40,gfc_tra_PC41,gfc_tra_PC42,gfc_tra_PC43,gfc_tra_PC44,gfc_tra_PC45,gfc_tra_PC46,gfc_tra_PC47,gfc_tra_PC48,gfc_tra_PC49,gfc_tra_PC50,gfc_tra_PC51,gfc_tra_PC52,gfc_tra_PC53,gfc_tra_PC54,gfc_tra_PC55,gfc_tra_PC56,gfc_tra_PC57,gfc_tra_PC58,gfc_tra_PC59,gfc_tra_PC60,gfc_tra_PC61,gfc_tra_PC62,gfc_tra_PC63,gfc_tra_PC64,gfc_tra_PC65,gfc_tra_PC66,gfc_tra_PC67,gfc_tra_PC68,gfc_tra_PC69,gfc_tra_PC70,gfc_tra_PC71,gfc_tra_PC72,gfc_tra_PC73,gfc_tra_PC74,gfc_tra_PC75,gfc_tra_PC76,gfc_tra_PC77,gfc_tra_PC78,gfc_tra_PC79,gfc_tra_PC80,gfc_tra_PC81,gfc_tra_PC82,gfc_tra_PC83,gfc_tra_PC84,gfc_tra_PC85,gfc_tra_PC86,gfc_tra_PC87,gfc_tra_PC88,gfc_tra_PC89,gfc_tra_PC90,gfc_tra_PC91,gfc_tra_PC92,gfc_tra_PC93,gfc_tra_PC94,gfc_tra_PC95,gfc_tra_PC96,gfc_tra_PC97,gfc_tra_PC98,gfc_tra_PC99,gfc_tra_PC100,gfc_tra_PC101,gfc_tra_PC102,gfc_tra_PC103,gfc_tra_PC104,gfc_tra_PC105,gfc_tra_PC106,gfc_tra_PC107,gfc_tra_PC108,gfc_tra_PC109,gfc_tra_PC110
OAS1_0001,-0.7353344,-1.3029889,-1.6148149,1.5381671,0.78102916,0.41569966,-0.054963134,-0.3529074,0.0035908413,0.20214862,-0.24754807,-0.50486916,0.1490754,0.058082484,0.25947887,0.27153412,-0.24312642,-0.109278776,0.121385306,0.63481545,0.42947963,0.5742813,0.00199474,0.11804259,0.6506863,0.11684034,-0.36847833,-0.82103866,0.40261754,-0.35656893,-0.032218114,-0.49990386,-0.69818217,0.21285662,0.22812606,0.25931314,-0.5097223,-0.37187645,0.15053923,-0.37885338,0.31410336,0.31862524,-1.1722293,-0.096873,-0.07891901,0.22506921,-0.37629253,-0.13588463,0.73493296,0.72952425,0.046732154,-0.41295806,-0.21129894,0.33498958,0.32579383,0.4436404,0.6226026,-0.5192903,-0.20203897,-0.44756493,-0.4401654,-0.14187424,-0.36993292,0.35909516,-0.13589768,0.87710774,-0.10084201,-0.061272796,-0.17971575,-0.7384308,0.33345237,-0.012553704,-0.5101475,-0.27588236,-0.14706846,-0.54138994,0.53269804,0.5703368,-0.5048908,-0.24827552,-0.46999177,0.46558976,-0.025997832,-0.133702,0.30910414,-0.37683478,-0.06818322,0.40577126,-0.019125191,-0.2698781,0.29364866,-0.38739067,-0.25380355,0.118418574,0.2555092,-0.07896352,0.17955208,-0.45925218,0.18349959,-0.1787378,-0.20427841,-0.31180295,-0.29980156,0.11425729,-0.41405675,-0.16956267,-0.19266903,-0.45981488,-0.07007894,0.428851
OAS1_0002,1.4312005,-0.18353878,-0.25974295,-0.23554686,0.4183788,-1.2899503,-1.022499,-1.1859885,-0.24403535,0.027368434,-0.8875154,-0.8193217,-0.1241065,-0.09081144,-0.0055377614,-0.40340984,-0.6079441,-0.22522208,-0.39630744,-0.44723916,0.915561,0.53950626,-1.6131865,-0.15007164,0.5483954,0.32678732,-0.46269184,0.7264217,0.08923053,1.2631463,0.64846367,-0.27205616,0.2836049,-0.2638064,0.06698985,0.07175152,-0.013312152,-0.33881167,0.7343525,0.26135793,0.2784535,-0.49909064,-0.0012018712,-0.3901476,0.058863737,-0.32249302,0.042123046,-0.34088147,0.18982162,-0.05523671,0.13469888,-0.40987387,0.43508533,-0.94244266,0.08930425,-0.38110226,-0.15809107,0.51447934,-0.5125547,-0.3380156,0.16848522,-0.14867377,1.0822804,-0.20462145,-0.053201318,0.21867338,0.34407213,-0.018697558,-0.06578872,0.105465665,0.40219644,-0.3390056,-0.048440047,-0.47259048,-0.21996413,-0.57133204,0.07334922,0.15368097,0.06085944,-0.64448404,0.092305675,-0.32348195,0.42152816,0.6126757,0.07301369,-0.42435443,-0.42802376,-0.27664575,0.18996589,0.2739075,0.04373923,-0.090378344,-0.21351677,-0.5976389,0.07995045,-0.061569575,0.16226658,0.44107214,0.12645201,0.0050422894,-0.8599188,0.5446915,0.040267486,0.6573912,0.68610376,-0.18609013,-0.5035602,0.4732554,-0.12322521,-0.17152329
OAS1_0003,-1.4692583,-0.6105688,-1.2479298,-0.5025643,-0.23589472,-0.05498295,-1.6865764,-0.35119918,-0.7190266,-0.61263937,-0.39275151,0.21184392,-0.8751887,-0.6294669,-0.309849,-0.17012736,0.91558033,-0.49304783,-0.27516824,0.6909073,-0.4165185,0.12074707,-0.34462112,0.026324453,0.09082244,-0.059701018,-0.27478993,0.38264647,-0.018296681,-0.3932941,0.46413293,0.22485812,-0.37866333,-0.03334218,-0.49286005,-0.009098929,-0.8318859,0.058145203,-0.28886393,-0.40563768,-0.24284476,-0.13437805,0.20755452,0.2673115,1.025147,0.209879,0.10529042,-0.037728794,0.3859478,-0.06723029,-0.18564175,0.0038103575,-0.2707486,0.66832757,0.2958757,0.0891106,-0.19915976,-0.32792568,0.4894383,-0.048319556,0.2516148,0.027103933,-0.2300524,-0.029875206,0.36652097,-0.18328297,0.90147644,0.32081443,-0.46550635,0.026368292,-0.16229539,-0.1730329,0.19356991,-0.15573308,0.66979825,-0.11317312,0.35246786,0.25645515,-0.38953927,0.4351388,-0.26404044,0.092331216,0.5054279,-0.20202206,-0.4841496,-0.07990382,-0.07727821,0.18081146,-0.52383876,0.1837361,-0.1235456,0.3274881,0.107436076,-0.37453127,0.5499528,-0.21366103,-0.044545174,-0.014207654,0.00042301638,-0.017660651,0.59951997,0.30218354,-0.3251726,-0.15363571,0.06571695,0.5938262,0.13257177,-0.34810057,-0.14476624,-0.5889334
OAS1_0004,0.77375835,-0.90064764,0.86690193,0.5636488,0.46616843,0.7462441,0.35182166,1.289134,0.85198426,-0.9739883,0.15286437,0.8918405,0.23139322,-0.12758568,-0.024161348,0.715646,-0.3939195,-0.040899407,0.8340684,0.6509722,0.6149569,-0.047082532,-0.14888328,-0.29986665,0.014935506,-0.3958208,0.040754944,-0.36991942,-0.2643152,0.330002,0.41659662,-0.4555748,-0.09025959,-0.0386133,-0.50669736,-0.2247655,-0.12403037,-0.7061355,-0.14517914,-0.54912144,0.58965474,-0.46583888,0.23999622,0.35390955,0.27369663,-0.10610483,0.16626938,-0.16851152,-0.07080258,-0.1830009,0.5314167,-0.50408924,0.2628835,0.33215404,0.35728884,0.3749563,0.41040227,-0.0016631518,-0.49388888,0.39359686,-0.021203667,-0.13203277,-0.2664371,-0.25789875,-0.46640214,-0.5428201,-0.3653766,0.0048158616,-0.2526007,0.99574196,0.0666925,0.36280966,-0.02799754,0.28227472,0.03352783,0.23843727,-0.29060534,-0.24659781,-0.14174695,0.31999362,-0.39353585,0.48364902,0.28796533,-0.5263588,-0.29343197,-0.4471544,0.53394,-0.41233963,0.02209411,0.43364933,0.4308041,0.35634932,0.43677112,0.19250497,-0.59334314,0.16806,-0.073942505,0.3787621,0.61386216,0.08200007,0.31534147,0.17517614,-0.0057947203,0.26762867,-0.20700802,-0.18751097,-0.103720196,-0.14739655,-0.606547,0.09748828
OAS1_0005,0.71998686,-1.3897194,-0.4138699,-1.0707732,-0.102044344,0.786678,0.67600787,-0.36261272,-0.28163025,-0.12736626,0.046950143,0.63474613,-0.053965893,0.35823327,-0.67290306,-0.49310088,-0.15751097,-1.1625193,-0.115786485,-0.0115156025,0.45872587,0.033453543,0.81858057,0.40401414,0.8228968,-0.00431812,0.085634425,-0.06954543,0.5457001,0.23782921,-0.30067444,-0.004366505,-0.07230652,0.10787168,0.2121328,-0.09462821,-0.29043955,-0.3213184,0.33505738,0.37823078,-0.60356504,0.03369714,-0.86661345,-0.004357705,-0.06132955,0.48018205,-0.014887183,0.6693604,0.06695296,0.49751446,0.3532412,0.1504442,0.99073756,-0.2637207,0.14620194,-0.034871295,-0.077253625,0.24881633,-0.27992424,0.19833839,0.1363662,-0.052203603,0.033749532,0.4404694,-0.17356071,0.6109189,-0.4910556,0.16761714,-0.5477988,0.5908629,0.81140584,-0.15354708,-0.059781533,-0.34801564,-0.1549919,-0.34047884,0.32586917,0.12591763,-0.13682202,0.1616475,0.19735974,-0.27962205,-0.29241744,0.56064826,0.00883066,0.046087615,-0.21138826,-0.40343988,0.13670668,0.39129084,-0.26001468,0.07212418,-0.484215,0.45270404,0.26838475,-0.40177616,-0.15081656,0.0098631885,0.42882875,-0.3853839,0.086029135,0.20784183,-0.023110798,-0.10389542,-0.47644538,-0.41537872,0.23489869,0.0071332636,-0.07138407,0.060100194
OAS1_0006,1.6785437,-0.18878254,0.18989776,1.2840155,-1.734311,0.08823505,0.035880823,0.50905156,0.07245,0.3245758,0.8136231,-1.1874425,0.015792001,-0.6987461,0.013577724,-0.24455735,0.3009952,-0.794166,-0.21901177,-0.17630634,0.36738056,-0.54886395,0.872811,-0.25692025,0.41508803,0.11553059,-0.32812533,-0.28659943,0.22500311,-0.18515772,0.43729734,0.03337427,0.11676132,0.2909973,-0.13703424,-0.3459944,-0.083814465,-0.6784965,-0.35277596,0.059519973,0.3640791,-0.57119745,-0.23745856,-0.53439516,-0.063862994,-0.19723766,-0.39776316,0.3843458,0.083638206,-0.17517795,-0.062325064,-0.7504305,0.18146798,-0.5012062,0.3035231,-0.21188231,-1.178626,-0.2186634,-0.3255371,0.11700671,0.5365854,-0.38388923,0.6573115,-0.09750585,0.09463437,-0.03618356,-0.51506054,-0.2544399,0.54095227,0.44609883,0.284061,-0.048657473,0.049892414,0.2974743,0.1852961,0.5846616,-0.09453478,0.1925288,-0.014689649,0.40279958,0.19495691,0.54242957,-0.23370552,-0.37054563,-0.17340414,-0.2281464,-0.40624526,0.30856863,-0.42396125,-3.0010133e-05,-0.13938652,-0.73993874,0.3390194,0.42279595,-0.16541755,-0.0015048909,0.15090095,0.16004868,-0.12336176,0.6193344,-0.39658394,0.13715556,-0.65205336,-0.16164996,0.34426868,-0.3362571,-0.21735632,-0.1707517,-0.0615244,0.23903495
OAS1_0007,-0.20467354,-0.19487374,0.2827948,-1.477484,-0.387352,0.31729814,0.68279755,-0.48080516,-1.2345587,0.88878196,0.8065815,0.43256295,-0.2571541,-0.70520675,0.37751964,-0.22140482,-0.08518755,0.02909165,1.1719137,0.08126658,-0.023900572,-0.10801651,-0.19460823,0.7224937,0.026529726,0.89095604,0.3246762,0.6820972,-1.1396108,0.0465161,-0.27303085,-0.09771826,0.042912845,-0.016853992,-0.070320494,0.22753686,0.07171648,0.15788732,0.2824763,0.2536446,-0.3533636,-0.49077526,0.0036521407,-0.52612805,1.0091343,0.04791045,0.10574151,-0.797642,0.5069518,-0.40518478,0.9258996,0.37414292,0.15977462,0.20276594,-0.40825984,0.044639535,0.5634337,-0.26866382,-0.093244955,-0.013568817,-0.29366285,-0.23775046,0.17664346,-0.42497593,-0.37685052,0.10633803,0.31050804,0.024140181,0.6117597,0.16305089,-0.25345328,0.036386084,-0.370567,0.11628893,0.28644428,-0.31002524,0.056269296,0.45693576,-0.0726434,0.17784151,-0.3036744,0.27030686,-0.44242913,-0.20076875,-0.42364442,0.10281561,-0.5214457,-0.10219639,0.13538834,-0.12441855,0.25002715,-0.18066601,0.21172075,-0.2063672,-0.049333088,-0.17541035,-0.21741116,-0.26612782,0.7396534,-0.1938422,-0.037154578,0.4206345,0.031086905,0.0141766425,0.27290276,-0.17553164,0.19120635,-0.13046427,0.32825866,-0.08223289
OAS1_0009,1.8285241,-1.3884807,-0.4881147,0.061975636,0.8781436,-0.27612588,0.10399282,0.36753768,-0.08534035,-1.195911,0.49795768,0.08488068,0.27310342,0.13371493,0.6564004,-0.079938516,-0.22359228,-0.12834474,0.008877737,0.94676834,0.64385676,-0.3672842,0.28168428,-0.6280256,-0.3200295,-1.1317856,-0.16415963,-0.06795981,-0.44853404,0.0726352,0.12041625,-0.011525965,0.3152671,0.36217108,-0.064154804,0.3719743,-0.6569475,0.31882635,0.16262102,0.35549873,-0.19402842,-0.2808477,0.07592346,-0.22815183,0.06485235,-0.68515694,-0.55942404,-0.29455975,0.11609243,0.04077885,0.21496946,-0.35788044,0.06664731,-0.15531899,0.20149706,0.36230972,-0.3735869,0.6305797,0.30278403,-0.64131683,-0.15102413,-0.2437495,-0.13833839,0.19457307,0.10382493,-0.5806157,0.21255687,-0.54050225,-0.10409743,0.075052656,-0.02673328,0.2165693,0.0790418,-0.26507995,0.18588123,0.011545966,0.28615913,0.19198628,0.6621703,-0.23643456,-0.21458659,-0.4041839,0.0100448,0.16710103,0.3689464,0.19177336,-0.800438,-0.33181044,-0.29715574,0.10848535,-0.29779306,0.5538326,0.26703575,0.39163792,-0.29066148,0.045738533,-0.53803307,0.4673074,-0.7452151,-0.14360124,0.22186667,-0.11689164,0.3111455,0.155771,0.17940073,-0.2522856,-0.4171825,0.22506826,0.06616669,-0.22426684
OAS1_0010,-2.212857,0.9454184,0.10993117,0.19763811,0.6199201,0.30192378,1.0852859,-0.71984035,1.432285,0.7249236,-0.1985982,0.08300218,0.29579526,-0.08229385,0.14080322,-0.59042203,-0.7494694,1.1132123,-0.50062543,0.5665177,0.6900971,0.3066371,-0.16589391,-0.13010652,1.0445076,0.10044035,0.4162399,-0.15391763,0.37818256,-0.22888799,0.27670902,-0.13849798,0.43616837,-0.01598727,-0.18819246,-0.38739517,0.135903,0.5904576,0.24916075,0.13286386,-0.333221,-0.6567437,-0.7780814,-0.02980561,-0.2740173,0.10714412,1.0055292,0.6031752,-0.15848099,-0.99669707,-0.4678896,-0.2505575,-0.12642895,-0.1411244,1.4204208,-0.3841577,0.0053823157,-0.60611683,-0.2377616,0.45662656,0.31824234,0.03690565,0.77106076,-0.08026884,0.37553868,-0.21587832,-0.26361966,-0.18468536,-0.23118474,-0.41618857,-0.20702554,0.31087813,0.6908515,0.7465591,0.5660097,-0.13322856,0.7345171,-0.16413254,-0.20881444,0.22752859,-1.1632776,0.17995109,0.8106229,0.98398584,0.7537979,0.30253896,0.17591926,0.41619784,0.08272257,-0.15582566,-0.4527942,0.035074476,-0.20223203,-0.5437043,-0.2570286,-0.3904108,0.26014042,-0.13940865,0.185644,0.025969148,0.2646405,-0.09589434,0.20709088,0.0798615,0.7702833,-0.037150785,-0.15282299,-0.098314635,-0.2311396,-0.31672162
OAS1_0011,1.5250535,-1.5405605,-0.7861038,0.1460713,-0.08188594,-0.21690944,0.1241663,-0.739772,-0.2885159,-1.4861199,0.935789,0.09203475,-0.14799234,0.9011783,-0.650453,0.4245429,0.04684731,0.673068,-0.079331025,-0.2656934,-0.30652678,-0.04913489,0.74569553,-0.4366352,-0.74293643,-0.33497262,-0.5139873,-0.24133545,0.85987633,-0.8743897,-0.027757065,-0.4348118,0.1493292,-0.9039102,0.27181742,1.032398,0.81467366,0.38237023,0.23015131,0.20124158,-0.44890043,-0.18673442,0.17606056,0.7007375,0.19159953,-0.11946765,0.35537997,-0.43268412,0.47832623,-0.3358011,0.046692733,-0.5276998,0.02820277,-0.22585385,-0.7562821,-0.65818155,-0.37725002,-0.019095857,-0.18832602,-0.2917895,0.5050523,0.45350504,0.122805856,0.17580801,-0.42548874,-0.16866195,0.2599091,-0.138936,0.10304987,0.5633411,-0.13992538,0.01792604,-0.08475438,0.2857116,-0.48370117,0.3045432,-0.04219656,0.15811233,-0.21936503,0.1886447,0.33673924,-0.21115993,-0.31690666,0.15840049,0.4410171,-0.35888362,-0.08511752,0.6128515,-0.1665657,0.22989437,0.03830184,0.67499024,-0.39845857,-0.22877093,0.35909915,0.34322295,0.47880304,-0.17377555,-0.38576463,-0.6935098,-0.37320235,0.06928793,-0.3300252,0.153045,-0.027651288,0.24581352,-0.01994347,0.47528675,-0.3322038,0.66885495
