patient_id,masked_tra_PC1,masked_tra_PC2,masked_tra_PC3,masked_tra_PC4,masked_tra_PC5,masked_tra_PC6,masked_tra_PC7,masked_tra_PC8,masked_tra_PC9,masked_tra_PC10,masked_tra_PC11,masked_tra_PC12,masked_tra_PC13,masked_tra_PC14,masked_tra_PC15,masked_tra_PC16,masked_tra_PC17,masked_tra_PC18,masked_tra_PC19,masked_tra_PC20,masked_tra_PC21,masked_tra_PC22,masked_tra_PC23,masked_tra_PC24,masked_tra_PC25,masked_tra_PC26,masked_tra_PC27,masked_tra_PC28,masked_tra_PC29,masked_tra_PC30,masked_tra_PC31,masked_tra_PC32,masked_tra_PC33,masked_tra_PC34,masked_tra_PC35,masked_tra_PC36,masked_tra_PC37,masked_tra_PC38,masked_tra_PC39,masked_tra_PC40,masked_tra_PC41,masked_tra_PC42,masked_tra_PC43,masked_tra_PC44,masked_tra_PC45,masked_tra_PC46,masked_tra_PC47,masked_tra_PC48,masked_tra_PC49,masked_tra_PC50,masked_tra_PC51,masked_tra_PC52,masked_tra_PC53,masked_tra_PC54,masked_tra_PC55,masked_tra_PC56,masked_tra_PC57,masked_tra_PC58,masked_tra_PC59,masked_tra_PC60,masked_tra_PC61,masked_tra_PC62,masked_tra_PC63,masked_tra_PC64,masked_tra_PC65,masked_tra_PC66,masked_tra_PC67,masked_tra_PC68,masked_tra_PC69,masked_tra_PC70,masked_tra_PC71,masked_tra_PC72,masked_tra_PC73,masked_tra_PC74,masked_tra_PC75,masked_tra_PC76,masked_tra_PC77,masked_tra_PC78,masked_tra_PC79,masked_tra_PC80,masked_tra_PC81,masked_tra_PC82,masked_tra_PC83,masked_tra_PC84,masked_tra_PC85,masked_tra_PC86,masked_tra_PC87,masked_tra_PC88,masked_tra_PC89,masked_tra_PC90,masked_tra_PC91,masked_tra_PC92,masked_tra_PC93,masked_tra_PC94,masked_tra_PC95,masked_tra_PC96,masked_tra_PC97,masked_tra_PC98,masked_tra_PC99,masked_tra_PC100,masked_tra_PC101,masked_tra_PC102,masked_tra_PC103,masked_tra_PC104,masked_tra_PC105,masked_tra_PC106,masked_tra_PC107,masked_tra_PC108,masked_tra_PC109,masked_tra_PC110
OAS1_0001,1.7776865,-0.12705739,-0.041527428,-0.84522295,-0.46866763,0.60373974,-0.88381034,0.014821659,-0.12218804,-0.8321353,-1.1846277,-0.06996679,0.7294622,0.46658066,-0.055670753,-0.28305346,0.5841557,0.17281033,-0.22296628,-0.30886903,0.020142736,0.15965654,-0.0302744,-0.2076301,0.5514194,0.58063084,-0.26634508,-0.3164489,-0.039063886,-0.6874306,-0.042818677,-0.2416887,-0.36541077,-0.36621547,0.02142186,0.34840184,-0.007896008,0.14234403,-0.4958421,0.55532557,0.30163714,-0.6582545,0.66142386,0.3827971,-0.22128183,0.26549035,-0.60896045,-0.032120924,-0.10131698,-0.37474322,0.30947244,-0.41463205,-0.024989579,-0.08141387,-0.47015196,0.15543258,-0.1613919,-0.06173103,0.17106621,-0.05739569,0.17763668,0.124212205,-0.23235236,0.28442934,0.010043314,-0.24274588,0.031310804,0.42721906,-0.43751872,0.2820103,-0.27271914,-0.24524195,-0.24319349,0.020138934,-0.10511058,-0.0679523,0.34344822,0.5435269,-0.3345111,-0.43611956,0.064337075,0.2655293,0.19215131,0.17007641,0.12331356,-0.08028226,0.32866088,-0.042125966,0.0998766,-0.36363238,0.17182076,0.4179354,0.39410284,-0.115763634,0.11674724,-0.23919657,0.16202581,0.07221789,-0.3552142,-0.38601387,-0.46325254,-0.047129065,0.2322364,-0.0658198,0.046251535,0.1809502,-0.107987955,-0.14867152,0.005047111,0.347259
OAS1_0002,-1.4006405,-0.76153296,0.7349826,-0.9912428,-0.14375663,0.6148622,-0.21306206,-0.13013278,0.1844582,0.11826565,-0.51911664,0.7291965,0.39898148,-0.14295496,0.1325953,0.48499793,-0.65095854,-0.46738693,-0.22288156,-0.16803183,0.37366578,-0.1026691,-0.47887054,-0.5600985,-0.057074234,-0.69186765,0.34067145,-0.18996635,0.52132124,-0.075219184,0.36078265,-0.023413679,-0.087832645,-0.20887046,0.05971835,0.5210028,0.4844623,0.30699527,-0.26796836,-0.31075078,-0.24070828,0.5357256,-0.49009663,-0.43191287,0.10855908,-0.49773145,0.22703414,-0.5671798,-0.7211637,0.8503266,-0.24393213,0.12495402,0.18425632,0.2041794,-0.4121985,-0.42632854,0.52851313,0.07161132,-0.32719308,-0.11735808,0.10666283,0.25269905,-0.15229902,0.18717346,0.21905081,-0.17094831,0.0676643,-0.108724244,0.33218408,-0.47664055,-0.33568972,0.18356834,0.6543023,-0.037258647,0.45502427,0.8925554,-0.38379636,-0.20692083,0.12412826,-0.18252885,-0.6768877,-0.018432587,0.3691637,0.26311135,0.30592173,-0.069588594,0.38902146,0.28192428,-0.18780458,-0.49663517,-0.31355232,-0.23809212,-0.4862426,0.6591987,0.077553086,0.43833318,0.1491797,-0.31607205,0.009539734,-0.51652426,-0.10745099,-0.013613371,0.094795704,-0.089112744,0.35657084,-0.2699323,0.04392759,0.13518585,0.24114929,-0.21663623
OAS1_0003,1.1099664,1.5170636,0.31759924,0.40804505,-0.40787008,0.2902869,-0.052921254,0.06491399,-0.50121427,0.16282688,-0.81135553,0.2259874,0.088430695,0.05482766,0.23228532,-0.17410173,-0.35573086,-0.44621375,-0.02635348,0.060249634,0.24847025,-0.57976943,-0.36231527,0.12006056,-0.3817382,0.22069222,0.92962396,-0.10024022,-0.020785222,0.065824024,-0.5878893,-0.4326211,0.26620418,-0.03943252,0.3799842,0.47641376,-0.424134,0.38118044,-0.66974545,-0.21496032,-0.36584893,-0.095352784,-0.05929494,-0.51077545,0.2279441,-0.12871993,0.02264772,-0.118779086,0.3991125,-0.24269137,0.46152425,0.113964915,0.1725582,0.079411194,-0.24195932,-0.27844465,-0.4127376,0.8455184,0.16042703,-0.38949168,-0.019189984,-0.52559197,0.42177275,-0.012051759,0.34275067,0.043157857,-0.45354924,0.064079314,0.2211291,-0.4252054,0.25315627,0.240878,0.20668447,0.100693695,-0.0870024,-0.28968984,-0.21492378,0.030370312,0.07314122,0.3207029,0.4897946,-0.36136827,0.21784845,0.15766576,0.15968658,-0.34136713,-0.32418424,0.108000785,0.04737502,0.20310608,-0.11903786,0.2846162,-0.003147671,-0.024717774,-0.17506306,-0.2856227,-0.3481379,0.16775991,0.039832912,0.14717145,-0.27525228,0.0990822,0.025972553,-0.15566964,0.20224926,0.22331947,0.25391585,0.25959724,0.27845895,-0.24082823
OAS1_0004,0.02224139,0.42618293,-0.85996646,-0.3932038,-0.4814477,-0.324461,-0.26350126,0.3599022,0.09784008,-0.8474851,-0.13516502,0.3411857,-0.47247568,-0.3361457,-0.34519288,-0.5803215,-0.0036964577,-0.26078066,-0.10496428,0.19217262,0.5790828,0.20771769,-0.7049114,-0.3053866,-0.10651118,-0.24631384,0.2556576,0.35595334,0.26894206,-0.2920318,-0.12726343,0.33780292,0.019379523,-0.45230335,0.015035733,-0.15413636,-0.025131926,-0.34439594,0.099232934,-0.14578143,0.44145423,-0.20932792,0.38376838,-0.4862755,0.89303356,0.2764693,0.06663031,-0.37009,-0.019723414,0.4700648,-0.22138998,-0.024231477,-0.30014822,0.6335186,0.47525233,-0.019619053,0.008826365,-0.30273187,-0.0060744607,0.5143767,-0.28522012,-0.4807492,0.19587454,0.15181378,0.01635019,0.11229147,-0.27119967,-0.2532182,-0.12547731,0.23632653,-0.37977645,-0.40256962,-0.10282105,0.653254,-0.24999683,0.12750973,0.032808334,0.35271794,-0.47066078,-0.06644062,0.12679349,-0.038008522,0.2639718,-0.4316603,-0.0919819,0.09235886,0.04138787,0.09545102,-0.32560813,-0.046253167,0.386283,0.056315556,0.09278273,-0.22303401,-0.37700844,0.06742176,-0.052102894,0.049021248,-0.1492468,0.7007798,0.045417268,-0.22403732,0.12390925,0.32659152,-0.23559515,0.58637214,0.50260127,-0.3226168,0.33342057,0.020082008
OAS1_0005,-1.1823045,-0.29018047,0.18432465,-0.25037858,0.083462216,0.263616,0.56442755,-0.011709705,0.53786147,-0.5408061,-0.23671333,-0.050472446,0.3231896,0.052983105,1.1009499,-0.5740012,-0.07745036,-0.27209973,-0.5672241,-0.062130276,0.36369604,0.82074714,-0.13090749,0.1464084,0.69454706,-0.11678565,0.02991776,-0.09901433,0.028834663,-0.10472859,-0.4867433,-0.046511542,-0.33802295,0.39082432,0.1379348,0.48465416,0.035426997,0.1978428,0.044038292,0.023707554,0.18239352,-0.6654581,0.48705572,-0.097215325,-0.42353588,-0.25642684,0.38675624,-0.5968799,-0.04852553,-0.115000084,-0.261217,0.23777862,0.24998663,-0.16900885,0.5352377,0.41933036,0.101139165,0.33154932,-0.36462012,0.19030675,0.065395765,-0.14800133,-0.15295409,-0.087248415,-0.21897443,-0.20934635,0.28632975,0.009962965,0.2520406,-0.17554702,0.2531071,0.09762953,0.46586108,0.2913961,-0.27437004,0.022874486,-0.27469978,0.35951477,0.73142284,0.23276475,-0.10130522,0.19003184,-0.673783,-0.24413757,-0.17614175,-0.32559267,0.19642472,-0.82087106,0.2342952,-0.10626572,0.15484044,0.030477537,-0.012801227,0.49877226,-0.17986934,0.26594782,-0.5729057,-0.012588601,-0.2504789,0.773587,-0.17507313,-0.059596688,-0.37166098,-0.049710184,0.018216101,0.17703936,-0.25666508,-0.099037945,-0.24467453,0.4253543
OAS1_0006,-0.6808088,0.33018482,-0.13281102,0.68405515,-0.15636654,1.2223265,0.16467343,0.22603175,-0.46319264,-0.0010625683,0.18645218,0.07240445,0.40738073,0.46396333,0.20865072,-0.91808575,-0.6273453,-0.013826808,0.07543871,0.09024898,-0.4073665,0.38989156,0.022275241,-0.51699114,0.6239075,-1.0108659,-0.36488968,0.40569568,-0.2202601,0.3448127,-0.053923294,-0.66862154,-0.21006365,0.0716873,-0.62551546,0.32556355,-0.0789477,0.5056235,0.37095854,0.2226652,-0.035949204,0.20856619,0.44789988,-0.08390844,0.095769696,-0.16014957,0.35428295,0.3480437,-0.09244332,0.7779106,-0.21938646,-0.047141213,-0.013481639,0.28648934,-0.52521783,-0.35766035,-0.032982443,0.04371706,-0.38891312,-0.2946345,0.1956899,-0.058350563,0.20367232,0.46012932,-0.22942387,-0.41952774,0.023000665,0.24433279,-0.5220034,0.03963446,-0.25442958,0.4053719,0.053892814,0.27005017,0.13219224,-0.12829396,0.012644996,-0.6450705,0.1333507,0.10641205,0.6357166,0.0024361594,-0.14490202,-0.8644167,-0.28316435,-0.22935793,0.5635079,-0.063352674,-0.25528768,0.16022956,-0.09403592,-0.11522297,-0.11705676,-0.4036499,-0.3868558,-0.4576211,0.5225219,0.13347341,-0.5345023,-0.39005816,-0.050071005,0.4354796,0.044661965,-0.16554615,-0.33714232,-0.052676838,0.012490411,0.090847924,-0.36023483,-0.5035534
OAS1_0007,-1.0057135,0.585548,0.0999041,0.35910857,0.11960414,0.06549739,0.6264323,0.063578255,0.97772217,-0.070566,0.42106882,-0.23561576,-0.047749855,-0.5268913,0.6263665,0.25321406,-0.43414167,0.29103988,0.117664285,0.5609992,-0.841141,-0.10951787,-0.63519406,-0.05192748,-0.18322012,0.5718656,1.1317375,-0.3676458,-0.26770604,-0.2742184,-0.6275272,-0.02181431,0.35049582,-0.4266898,-0.07825524,-0.27809528,0.27866066,0.31558013,-0.11131457,-0.63742715,0.5168858,0.3060849,-0.24438564,-0.07016478,0.15094925,0.40495595,-0.4221669,0.14375931,0.19725,-0.052178364,0.020496886,-0.023469124,-0.09499791,-0.51015997,-0.5824746,-0.091783285,-0.58265567,0.025840038,0.003690705,0.12153713,0.42814916,-0.44394124,0.012024883,-0.15674089,0.3972139,0.08484087,-0.027868215,-0.24163559,-0.105711535,0.50403684,0.20057736,0.3934536,0.3122585,0.25919315,-0.21594122,-0.17602357,0.5276032,-0.06597431,0.14132553,-0.36396766,0.17034894,-0.18359062,-0.14761111,-0.10799081,0.11360298,0.20635809,-0.41590783,0.29218715,-0.3166119,0.33686918,0.03949821,-0.2513713,0.33911476,0.108542524,0.4859306,0.044416554,0.30031472,-0.056126747,0.14297792,-0.24797931,0.3104299,-0.11865295,0.07568072,-0.09993501,-0.3777997,-0.03510736,0.18955046,0.0476642,0.17577405,0.39869204
OAS1_0009,-0.8564613,0.05921162,-0.4193924,-0.7249765,-0.4983189,0.6548481,-0.7639988,0.5104348,0.74427503,0.40958914,0.4500616,-0.27258468,-0.0514316,-0.04287143,-0.8068311,-0.5560533,0.15528,-0.12649837,-0.4264723,-0.31548515,0.17347854,0.07468762,-0.17886415,0.07448964,-0.32564798,0.16589847,0.4806393,-0.058545336,0.9963921,0.24616866,0.08292754,-0.79446983,-0.6255711,-0.324497,-0.052142825,-0.33585435,0.2352239,-0.5018902,0.11090067,0.48834684,-0.102135934,0.138397,-0.7057903,0.61971015,-0.29998162,0.33225012,-0.20181015,0.17471708,0.2211219,0.1224477,-0.02923038,-0.111529976,-0.3958028,0.49077472,0.1441937,0.13637476,-0.5973871,-0.10286889,0.2688699,0.22094624,-0.108144335,-0.1953037,0.24389309,-0.09395996,0.2166758,0.3369026,0.77659,0.2017966,-0.13691998,0.21851985,-0.17367132,0.055425055,0.70897996,0.06788544,-0.101051636,-0.2585302,0.2023754,-0.008458516,0.21458119,0.28728384,0.27020907,0.06881606,0.002173408,0.0723169,-0.016726503,-0.362061,0.13384268,0.011952971,0.5342704,-0.4588756,0.09237406,-0.5120889,0.028787738,-0.42457476,0.25933024,0.078951806,-0.1660703,-0.37010586,-0.08515734,-0.08577264,0.075029776,0.13038082,0.015460915,-0.12969619,0.44968396,-0.23918915,0.12653267,-0.025263013,0.10808149,0.23425847
OAS1_0010,1.6333514,-0.266711,0.33207506,0.22784793,-0.109316885,-0.043205418,-0.24568482,-0.40151548,0.9366897,0.39951533,-0.37353382,0.21725975,-0.29436022,-0.1565276,-0.5129471,-0.26862258,0.40943268,-0.6242988,0.53113616,0.48100808,-0.31847835,-0.021656325,0.36629838,-0.23949261,0.02911966,-0.014927123,-0.09046943,-0.28603524,-0.4899816,0.04875019,0.18969896,0.63789654,0.59863615,-0.28057095,0.6103191,0.13434225,-0.3273053,0.49817884,0.0938702,-0.36445564,-0.4015706,0.2149169,0.3896237,-0.3588133,-0.061562903,-0.25828558,-0.3580535,0.11660712,0.256661,0.06584678,0.43634295,-0.5289879,-0.66798806,0.14534858,-0.32475945,0.18338595,-0.55864215,0.41350535,-0.32555044,0.2433474,0.5918179,-0.018780045,0.18824857,-0.24837956,-0.06677282,0.24241279,-0.3691488,-0.98923475,-0.058070976,-0.7480629,-0.44283655,0.33664194,0.1069522,0.19797309,-0.013383438,-0.42527828,-0.2868848,-0.54943204,-0.26117063,-0.1530285,0.03921072,0.001647893,0.017383944,-0.1687342,-0.39641044,-0.0878909,0.7348172,0.20542596,0.11066703,0.06485109,0.50318134,-0.24950255,0.16082384,0.29745668,-0.14544879,0.02000483,0.14948222,-0.33230036,0.24653447,0.3227454,-0.003260414,-0.014625823,0.34204012,0.44333673,0.09247432,-0.08643444,-0.12834266,0.4588231,0.30707246,-0.041865584
OAS1_0011,-0.66649646,0.3957504,-1.1556867,-0.09126989,-0.116196424,0.36004394,-0.24863681,0.08175082,-0.68352413,0.3573544,-0.150551,-0.124631174,-0.87551427,-0.5027318,0.80917585,-0.16792788,0.09524512,-0.060457397,0.096393086,0.09929552,0.1330745,-0.5700473,0.8298568,-0.35115105,0.26551357,-0.027677542,-0.92847604,-0.71755743,0.4777341,0.12426821,-0.043855112,0.109206766,-0.059101872,0.17807966,0.1974196,0.12832874,-0.60821533,-0.28942838,-0.53874403,0.48385286,0.08308868,-0.13296692,0.624429,0.31982931,0.09752395,0.3494999,-0.089945756,0.15416692,0.1842155,0.18950368,0.34900576,0.017473765,0.34038073,-0.050598957,0.123367764,0.21007088,-0.014541079,-0.10240713,-0.23715723,-0.34465405,-0.60937315,-0.29561278,-0.08334442,-0.8933548,-0.09500411,-0.5873393,-0.5926941,0.21934122,-0.20541042,-0.027921556,0.4356198,-0.3236687,-0.26819983,-0.05628873,-0.37330845,-0.07342225,-0.31432602,-0.21712475,0.48788145,0.066594824,0.12046306,-0.26970485,-0.5823195,-0.04207398,0.37880751,-0.239076,-0.19163497,-0.15529399,-0.40919292,-0.19648737,-0.26376653,-0.36128658,-0.40167594,0.21603084,-0.063061275,-0.51609117,-0.07519126,-0.18438628,-0.32735527,-0.33720016,-0.38996002,0.05973217,0.61235285,0.2930416,0.13945372,-0.024244668,0.22786136,0.13175562,0.090218775,0.31735116
OAS1_0012,-0.48316634,-0.039772764,-0.24344611,0.23183458,0.73385495,0.41541514,0.1519609,0.03958029,0.07302755,0.18759203,-0.23109624,-0.44757313,0.49927318,-0.48895943,0.05431276,-0.5615488,-0.5907749,0.28368586,0.25270063,-0.14716636,0.02064862,-0.7855666,0.19191861,-0.38417104,0.49874887,-0.12557302,0.24061395,-0.6229293,-0.070758194,-0.053919844,-0.29119146,0.06142324,0.30298057,-0.40338537,-0.007670461,-0.35405862,0.105734564,0.26130092,-0.40918416,-0.04945094,0.44979697,-0.30401236,0.2658825,-0.27745414,-0.65032196,0.37183502,-0.20239903,-0.18989138,-0.4074915,-0.43876952,-0.25740886,-1.0258816,-0.91015905,-0.095715836,-0.31796703,-0.09161395,0.09527569,-0.07102334,-0.23437889,0.13465424,0.03531808,-0.30377492,-0.28742772,0.09152331,0.113632955,-0.55769634,0.08979847,0.30329725,0.18402089,0.22119036,0.07008727,0.4460055,0.45067632,0.09086957,0.15902911,0.26971835,0.13163863,-0.6157135,0.36018997,-0.123683035,0.16588889,-0.18493839,0.089423925,-0.26954165,0.08355796,0.41748694,-0.052450437,0.24323563,0.4162969,-0.23155189,0.17176025,0.54118097,0.032684874,-0.03562899,-0.33684427,-0.02619451,-0.26846418,-0.17639759,0.3803617,0.18333475,-0.11813797,-0.13735238,0.08417802,0.20393986,0.01851495,-0.109560594,-0.51334167,0.13443877,-0.07728239,-0.1295183
